job_type,average_salary
Health Information Technologists and Medical Registrars,"65,280"
Health Practitioner Support Technologists and Technicians,"42,600"
"Health Specialties Teachers, Postsecondary","127,640"
"Health Teachers, Postsecondary","116,780"
Health Technologists and Technicians,"53,230"
"Health Technologists and Technicians, All Other","50,790"
Healthcare Diagnosing or Treating Practitioners,"118,990"
"Healthcare Diagnosing or Treating Practitioners, All Other","123,960"
Healthcare Practitioners and Technical Occupations,"96,770"
"Healthcare Practitioners and Technical Workers, All Other","68,170"
Healthcare Social Workers,"62,760"
Healthcare Support Occupations,"35,560"
"Healthcare Support Workers, All Other","43,490"
Hearing Aid Specialists,"62,480"
"Heat Treating Equipment Setters, Operators, and Tenders, Metal and Plastic","43,700"
"Heating, Air Conditioning, and Refrigeration Mechanics and Installers","57,460"
Heavy and Tractor-Trailer Truck Drivers,"53,090"
Heavy Vehicle and Mobile Equipment Service Technicians and Mechanics,"58,190"
"Helpers--Brickmasons, Blockmasons, Stonemasons, and Tile and Marble Setters","44,230"
Helpers--Carpenters,"38,880"
Helpers--Electricians,"38,840"
Helpers--Extraction Workers,"44,410"
"Helpers--Installation, Maintenance, and Repair Workers","36,750"
"Helpers--Painters, Paperhangers, Plasterers, and Stucco Masons","38,040"
"Helpers--Pipelayers, Plumbers, Pipefitters, and Steamfitters","37,590"
Helpers--Production Workers,"35,740"
Helpers--Roofers,"40,880"
"Helpers, Construction Trades","39,320"
"Helpers, Construction Trades, All Other","40,790"
Highway Maintenance Workers,"45,790"
Historians,"72,900"
"History Teachers, Postsecondary","88,640"
Hoist and Winch Operators,"69,120"
Home Appliance Repairers,"47,500"
Home Health and Personal Care Aides,"30,930"
"Home Health and Personal Care Aides; and Nursing Assistants, Orderlies, and Psychiatric Aides","32,440"
"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop","28,380"
"Hotel, Motel, and Resort Desk Clerks","30,300"
"Human Resources Assistants, Except Payroll and Timekeeping","46,900"
Human Resources Managers,"145,750"
Human Resources Specialists,"73,080"
Human Resources Workers,"74,060"
Hydrologic Technicians,"66,640"
Hydrologists,"96,300"
Industrial Engineering Technologists and Technicians,"63,470"
Industrial Engineers,"98,560"
"Industrial Engineers, Including Health and Safety","98,880"
